,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:01,Himachal Pradesh,82876,69747,1241,11859,
1,2021-04-23 21:15:21,Himachal Pradesh,84065,70519,1267,12246,1189.0
2,2021-04-24 21:13:17,Himachal Pradesh,86138,71396,1291,13418,2073.0
3,2021-04-24 21:41:20,Himachal Pradesh,86138,71396,1291,13411,0.0
4,2021-04-25 20:10:17,Himachal Pradesh,87501,72557,1323,13581,1363.0
5,2021-04-25 22:29:44,Himachal Pradesh,87501,72557,1323,13577,0.0
6,2021-04-26 20:45:08,Himachal Pradesh,89193,73478,1350,14326,1692.0
7,2021-04-27 20:13:44,Himachal Pradesh,91350,74783,1374,15151,2157.0
8,2021-04-28 21:18:24,Himachal Pradesh,93889,76335,1407,16098,2539.0
9,2021-04-29 21:14:55,Himachal Pradesh,96929,77576,1447,17838,3040.0
10,2021-04-29 21:41:29,Himachal Pradesh,96929,77576,1447,17835,0.0
11,2021-04-30 20:33:03,Himachal Pradesh,99287,79310,1484,18425,2358.0
12,2021-05-01 21:40:53,Himachal Pradesh,102038,80534,1512,19928,2751.0
13,2021-05-02 21:41:50,Himachal Pradesh,104491,82148,1556,20723,2453.0
14,2021-05-02 22:26:14,Himachal Pradesh,104491,82148,1556,20727,0.0
15,2021-05-03 23:21:15,Himachal Pradesh,107121,83679,1599,21788,2630.0
16,2021-05-04 21:12:45,Himachal Pradesh,110945,85671,1647,23572,3824.0
17,2021-05-05 22:25:27,Himachal Pradesh,114787,87151,1679,25902,3842.0
18,2021-05-06 21:41:51,Himachal Pradesh,118729,89197,1724,27753,3942.0
19,2021-05-07 22:25:37,Himachal Pradesh,122906,91573,1780,29513,4177.0
20,2021-05-08 20:40:12,Himachal Pradesh,128330,94586,1817,31893,5424.0
21,2021-05-09 23:13:09,Himachal Pradesh,131423,97045,1872,32469,3093.0
22,2021-05-10 21:32:43,Himachal Pradesh,135782,99400,1925,34417,4359.0
23,2021-05-12 10:41:38,Himachal Pradesh,140759,102499,1989,36232,4977.0
24,2021-05-12 21:44:56,Himachal Pradesh,145736,104686,2055,38954,4977.0
25,2021-05-13 22:29:43,Himachal Pradesh,150673,108503,2118,40008,4937.0
26,2021-05-14 21:30:29,Himachal Pradesh,153717,111878,2185,39623,3044.0
27,2021-05-15 20:53:22,Himachal Pradesh,157862,116016,2241,39575,4145.0
28,2021-05-16 21:43:08,Himachal Pradesh,160240,120990,2311,36909,2378.0
29,2021-05-17 20:35:27,Himachal Pradesh,163786,124750,2369,36633,3546.0
30,2021-05-18 20:17:24,Himachal Pradesh,166678,129315,2447,34888,2892.0
31,2021-05-19 20:45:14,Himachal Pradesh,170074,132406,2516,35124,3396.0
32,2021-05-23 14:42:28,Himachal Pradesh,177725,146219,2693,28788,7651.0
33,2021-05-23 20:42:53,Himachal Pradesh,179034,150278,2752,25979,1309.0
34,2021-05-24 21:16:30,Himachal Pradesh,180983,153964,2813,24181,1949.0
35,2021-05-25 20:33:13,Himachal Pradesh,182982,157031,2873,23053,1999.0
36,2021-05-26 21:46:25,Himachal Pradesh,184347,159227,2917,22181,1365.0
37,2021-05-27 20:47:59,Himachal Pradesh,185819,162636,2976,20184,1472.0
38,2021-05-28 20:43:50,Himachal Pradesh,187342,165786,3040,18495,1523.0
39,2021-05-29 20:57:10,Himachal Pradesh,188604,168524,3070,16989,1262.0
40,2021-05-30 20:15:05,Himachal Pradesh,189465,171393,3111,14940,861.0
41,2021-05-31 20:54:56,Himachal Pradesh,190330,173560,3127,13622,865.0
42,2021-06-01 21:45:04,Himachal Pradesh,191251,175657,3165,12408,921.0
43,2021-06-02 21:50:37,Himachal Pradesh,192142,176949,3194,11975,891.0
44,2021-06-03 21:55:41,Himachal Pradesh,193137,178840,3217,11057,995.0
45,2021-06-05 11:23:03,Himachal Pradesh,193924,180870,3244,9787,787.0
46,2021-06-05 22:01:25,Himachal Pradesh,194742,181972,3263,9484,818.0
47,2021-06-06 21:45:58,Himachal Pradesh,195099,183434,3281,8361,357.0
48,2021-06-08 08:37:31,Himachal Pradesh,195755,184878,3299,7555,656.0
49,2021-06-08 20:29:10,Himachal Pradesh,196357,186052,3312,6970,602.0
50,2021-06-09 19:45:15,Himachal Pradesh,196911,186052,3312,7524,554.0
51,2021-06-09 20:43:06,Himachal Pradesh,196905,186872,3327,6682,-6.0
52,2021-06-10 20:25:50,Himachal Pradesh,197438,187734,3344,6336,533.0
53,2021-06-11 20:56:07,Himachal Pradesh,197943,188691,3349,5879,505.0
54,2021-06-11 21:05:38,Himachal Pradesh,197943,188691,3351,5879,0.0
55,2021-06-12 19:59:57,Himachal Pradesh,198313,189522,3368,5402,370.0
56,2021-06-13 22:21:26,Himachal Pradesh,198550,190377,3368,4784,237.0
57,2021-06-13 22:29:24,Himachal Pradesh,198550,190377,3375,4777,0.0
58,2021-06-14 21:22:38,Himachal Pradesh,198876,191041,3382,4432,326.0
59,2021-06-15 21:04:13,Himachal Pradesh,199197,191732,3394,4050,321.0
60,2021-06-16 21:10:16,Himachal Pradesh,199407,192256,3398,3733,210.0
61,2021-06-18 08:08:56,Himachal Pradesh,199699,192841,3408,3430,292.0
62,2021-06-18 19:44:58,Himachal Pradesh,200043,193418,3413,3193,344.0
63,2021-06-19 20:56:46,Himachal Pradesh,200282,193850,3423,2990,239.0
64,2021-06-20 19:57:49,Himachal Pradesh,200410,194249,3426,2711,128.0
